Sample	Compartment	SourceColony	AcclimationTank	Origin	Group	Day	Hsp70	Ubiquitin
HVZW-3A-D3	Zoox	3	stable	HV	HV_stable	D3	1.229514354	3.178708544
HVZW-4A-D3	Zoox	4	stable	HV	HV_stable	D3	1.070234403	5.295202528
HVZW-5A-D3	Zoox	5	stable	HV	HV_stable	D3	1.626300596	2.781004863
MVZW-1A-D3	Zoox	6	stable	MV	MV_stable	D3	0.969109692	4.577824754
MVZW-2A-D3	Zoox	7	stable	MV	MV_stable	D3	0.852350702	3.485384549
MVZW-3A-D3	Zoox	8	stable	MV	MV_stable	D3	2.400438562	11.06565274
MVZW-4A-D3	Zoox	9	stable	MV	MV_stable	D3	1.756063275	11.43067938
MVZW-5A-D3	Zoox	10	stable	MV	MV_stable	D3	2.277027836	12.02947876
forereefZW-1A-D3	Zoox	11	stable	forereef	forereef_stable	D3	2.1450386	7.066026901
forereefZW-2A-D3	Zoox	12	stable	forereef	forereef_stable	D3	1.273292628	4.088880879
forereefZW-4A-D3	Zoox	14	stable	forereef	forereef_stable	D3	1.441384695	2.211062022
forereefZW-3A-D3	Zoox	15	stable	forereef	forereef_stable	D3	1.731487246	4.74839642
HVZW-1B-D3	Zoox	1	variable	HV	HV_variable	D3	0.109219132	8.013799623
HVZW-2B-D3	Zoox	2	variable	HV	HV_variable	D3	0.723791875	2.352623535
HVZW-3B-D3	Zoox	3	variable	HV	HV_variable	D3	1.176907492	3.356709655
HVZW-4B-D3	Zoox	4	variable	HV	HV_variable	D3	1.38399961	4.069383687
HVZW-5B-D3	Zoox	5	variable	HV	HV_variable	D3	1.37440841	2.163346813
MVZW-1B-D3	Zoox	6	variable	MV	MV_variable	D3	0.297947243	3.978491127
MVZW-2B-D3	Zoox	7	variable	MV	MV_variable	D3	0.358207367	2.998699414
MVZW-3B-D3	Zoox	8	variable	MV	MV_variable	D3	1.215303795	12.60895726
MVZW-4B-D3	Zoox	9	variable	MV	MV_variable	D3	1.236169116	9.669090059
MVZW-5B-D3	Zoox	10	variable	MV	MV_variable	D3	0.922114783	9.600389713
forereefZW-1B-D3	Zoox	11	variable	forereef	forereef_variable	D3	0.98168102	3.602623384
forereefZW-2B-D3	Zoox	12	variable	forereef	forereef_variable	D3	0.280061292	4.61158629
forereefZW-3B-D3	Zoox	13	variable	forereef	forereef_variable	D3	0.124545498	2.799993451
forereefZW-4B-D3	Zoox	14	variable	forereef	forereef_variable	D3	0.12325822	2.195125826
forereefZW-5B-D3	Zoox	15	variable	forereef	forereef_variable	D3	0.191165969	3.351547629
